imo,count imo,mmsi,count mmsi
7354199,2,158043215,1
8840884,2,170819841,1
9713478,2,205087000,1
9440837,2,205793000,1
9267156,2,209241000,1
9460904,2,209761000,1
9450583,2,209798000,1
9609677,2,210263000,1
9254111,2,210452000,1
9468437,2,210478000,1
9558696,2,210558000,1
9214850,2,210657000,1
9468449,2,210665000,1
9327102,2,211852000,1
9650987,2,212167000,1
9409041,2,212430000,1
9676199,2,212463000,1
9292149,2,215724000,1
9183855,2,215767000,1
9707819,2,215931000,1
9327097,2,218554000,1
9349875,2,218831000,1
9667473,2,219030706,1
9299434,2,219124000,1
9299458,2,219127000,1
9389502,2,219279000,1
9399351,2,219280000,1
9032977,2,219370001,1
9236999,2,220188000,1
9017240,2,220229000,1
9341433,2,220480000,1
9051583,2,225025099,1
9223851,2,229031000,1
9457854,2,229354000,1
9261815,2,229469000,1
9718686,2,229587000,1
9226425,2,229646000,1
9784661,2,229742000,1
9477787,2,229753000,1
9368194,2,232004456,1
9708978,2,232011808,1
9801744,2,232027170,1
9313292,2,232027637,1
9127875,2,235060356,1
9390965,2,235070466,1
9297096,2,236111832,1
9707819,2,238005000,1
9302463,2,238223000,1
9254733,2,240149000,1
9343857,2,240576000,1
9354844,2,240690000,1
9320506,2,246524000,1
9477854,2,247271200,1
9448607,2,247300900,1
9448619,2,247303200,1
9457854,2,247312200,1
9786994,2,247437900,1
9403152,2,248289000,1
9676199,2,249458000,1
9354624,2,249737000,1
9313292,2,249923000,1
5274487,2,252020216,1
9142590,2,253651000,1
9365489,2,255718000,1
9360271,2,255799000,1
9220328,2,255805581,1
9275103,2,255805805,1
9839818,2,255806200,1
9504293,2,255806240,1
8919245,2,255806445,1
9360764,2,255806448,1
9362449,2,255806449,1
9621194,2,255915561,1
9621209,2,255915562,1
9621211,2,255915563,1
9640750,2,255915564,1
9733765,2,255915565,1
9733777,2,255915566,1
9764972,2,255915567,1
9466532,2,255915691,1
9803388,2,255915713,1
9464780,2,256198000,1
9322073,2,256231000,1
9457749,2,256325000,1
9725380,2,256402000,1
9431800,2,256559000,1
9296810,2,256678601,1
9272199,2,257033170,1
9281724,2,257362000,1
9493975,2,257654000,1
9698197,2,257818000,1
9499450,2,257916000,1
9873266,2,257933000,1
9724441,2,258050000,1
9749790,2,258121000,1
9258612,2,258749000,1
9335020,2,259717000,1
9303651,2,259887000,1
9810226,2,265829000,1
7204643,2,273000000,1
9011519,2,273217470,1
9346421,2,304262000,1
9213961,2,304543000,1
9261085,2,304789000,1
9357999,2,304844000,1
9183855,2,308007000,1
9320295,2,309402000,1
9000259,2,310438000,1
9667473,2,310683000,1
9397042,2,310700000,1
9397054,2,310703000,1
9404895,2,310705000,1
9337834,2,310711000,1
9322085,2,310743000,1
9254953,2,311000303,1
8919245,2,311000891,1
9477854,2,311001045,1
9590620,2,311001296,1
9220926,2,311001527,1
9529645,2,311011584,1
9468437,2,311050500,1
9468449,2,311050700,1
9255593,2,311073400,1
9225055,2,311208000,1
9257058,2,311293000,1
9452804,2,312059000,1
9414008,2,312066000,1
9220407,2,312067000,1
9214977,2,312068000,1
8359536,2,312106000,1
9585584,2,312128000,1
9356816,2,312255000,1
9181807,2,312468000,1
9310783,2,312509000,1
9156802,2,312712000,1
9509267,2,312831000,1
8358506,2,312917000,1
9134969,2,312952000,1
9140437,2,312993000,1
9359947,2,314440000,1
9400916,2,314560000,1
9302463,2,314609000,1
9320506,2,314617000,1
9248461,2,314783000,1
9913171,2,314820000,1
9311050,2,314835000,1
9373929,2,314853000,1
9330393,2,319024300,1
9477543,2,319027200,1
9470545,2,319034900,1
9724441,2,319086900,1
9749790,2,319092900,1
9750218,2,319105200,1
9781126,2,319118800,1
9133032,2,325768000,2
9208526,2,341163001,1
9256353,2,341395001,1
9550723,2,341663001,1
9205873,2,341776000,1
9156541,2,341790000,1
9803388,2,351061000,1
9311232,2,351088000,1
9269609,2,351169000,1
9642021,2,351246000,2
9291987,2,351295000,2
9460904,2,351295000,2
9334997,2,351435000,1
9797694,2,351516000,1
9711688,2,351541000,1
9186754,2,351619000,1
9633020,2,351854000,1
9258325,2,351879000,1
9873266,2,351892000,1
9590735,2,351925000,1
9321134,2,351991000,1
9356816,2,352001070,1
9397042,2,352001077,1
9449455,2,352001167,1
9414321,2,352001236,1
9381316,2,352001280,1
9522075,2,352001311,1
9405497,2,352001318,1
9293870,2,352001347,1
9556911,2,352001370,1
9557953,2,352001374,1
9030577,2,352001383,1
9150303,2,352001506,1
9469833,2,352001556,1
