cluster_id,h3_int_r8
3,614269498798637055
3,614269498800734207
3,614269498802831359
3,614269498813317119
3,614269498815414271
3,614269498817511423
3,614269498819608575
3,614269498825900031
3,614269498832191487
3,614269498836385791
3,614269498840580095
3,614269498846871551
3,614269498848968703
3,614269498851065855
3,614269498853163007
3,614269498855260159
3,614269498857357311
3,614269498859454463
3,614269499083849727
3,614967494467125247
3,614967494469222399
3,614967494471319551
3,614967494473416703
3,614967494475513855
3,614967494477611007
3,614967494479708159
3,614967494483902463
3,614967494488096767
3,614967494490193919
3,614967494496485375
3,614967494500679679
3,614967494502776831
3,614967494504873983
3,614967494506971135
3,614967494509068287
3,614967494511165439
3,614967494513262591
3,614967494517456895
3,614967494519554047
3,614967494521651199
3,614967494523748351
3,614967494525845503
3,614967494527942655
3,614967494530039807
3,614967494538428415
3,614967494540525567
3,614967494567788543
3,614967494569885695
3,614967494571982847
3,614967494574079999
3,614967494576177151
3,614967494578274303
3,614967494580371455
3,614967494714589183
4,615115492362813439
4,615115492364910591
4,615115492367007743
4,615115492369104895
4,615115492383784959
4,615115492385882111
4,615115492597694463
4,615115492599791615
4,615115492601888767
4,615115492603985919
4,615115492606083071
4,615115492608180223
4,615115492610277375
4,615115492614471679
4,615115492616568831
4,615115492618665983
4,615115492620763135
4,615115492622860287
4,615115492624957439
4,615115492627054591
4,615115492631248895
4,615115492633346047
4,615115492635443199
4,615115492637540351
4,615115492639637503
4,615115492641734655
4,615115492643831807
